xmin,ymin,xmax,ymax
365.9901123046875,122.38873291015625,630.794677734375,384.03955078125
352.61497497558594,110.46533203125,639.2931060791016,377.79388427734375
349.52748107910156,110.522705078125,646.5466156005859,378.1041259765625
341.9918212890625,122.91193389892578,653.3441162109375,378.2356491088867
351.58013916015625,129.6593017578125,665.229248046875,379.61260986328125
359.4349365234375,132.88967895507812,680.8714599609375,382.9490051269531
369.06298828125,139.40899658203125,694.4744873046875,388.4976806640625
375.02703857421875,148.873779296875,707.2960815429688,393.94207763671875
382.29400634765625,158.2353515625,725.9957885742188,402.31439208984375
386.80462646484375,175.79998016357422,741.2481079101562,404.09986114501953
405.79229736328125,208.58291625976562,756.0266723632812,404.2987365722656
408.76690673828125,232.15985107421875,760.7178344726562,405.53961181640625
409.69139099121094,226.54122924804688,781.4107818603516,408.4377136230469
418.92578125,167.55670166015625,789.413818359375,406.48992919921875
396.988525390625,143.11102294921875,789.5849609375,406.34033203125
401.7177734375,127.46124267578125,785.7027587890625,406.44769287109375
401.67205810546875,121.6829833984375,784.8364868164062,403.93194580078125
400.20172119140625,117.11395263671875,784.9025268554688,407.67706298828125
397.809326171875,120.0301513671875,786.0587158203125,408.450439453125
392.01280212402344,120.35818481445312,780.2387847900391,406.9973449707031
384.92657470703125,118.28106689453125,774.8932495117188,400.85064697265625
374.09698486328125,117.39373779296875,775.3176879882812,392.648681640625
368.1168212890625,120.30682373046875,771.4898681640625,388.669921875
364.75599670410156,127.44915771484375,761.4250335693359,383.94854736328125
361.92950439453125,138.70001220703125,757.0382690429688,380.24090576171875
354.97874450683594,153.61322021484375,753.3152008056641,379.754150390625
354.52142333984375,178.67449951171875,750.8036499023438,383.7264404296875
359.66819763183594,217.41259765625,742.1279449462891,388.50140380859375
348.58140563964844,224.41016387939453,739.7000885009766,393.05126190185547
341.4141845703125,233.55294799804688,738.2220458984375,395.6152038574219
337.20404052734375,232.22866821289062,736.5671997070312,396.5950622558594
336.02569580078125,232.5052490234375,737.2033081054688,396.63629150390625
331.4229736328125,230.92432403564453,739.103515625,396.88426971435547
329.04022216796875,229.44638061523438,740.3399047851562,397.2971496582031
329.17608642578125,228.92282104492188,740.3645629882812,397.2071228027344
328.47340393066406,227.2171630859375,742.2451019287109,407.5787353515625
328.50567626953125,226.19066619873047,744.2969360351562,422.83850860595703
330.39356994628906,228.8228759765625,746.5290374755859,428.64874267578125
329.41651916503906,228.28860473632812,749.3340911865234,432.8499450683594
327.46339416503906,228.08514404296875,750.9327239990234,434.67340087890625
326.492431640625,228.70257568359375,751.0089111328125,434.5535888671875
325.9781494140625,229.37085723876953,751.324462890625,434.70665740966797
325.16978454589844,229.82830810546875,752.1894683837891,434.26959228515625
324.57452392578125,230.705322265625,752.5123901367188,434.1356201171875
323.0406494140625,232.89067840576172,754.0028076171875,433.5075149536133
322.80860900878906,233.68685913085938,753.7026214599609,433.0287170410156
324.55751037597656,235.91690063476562,753.2618255615234,432.7226867675781
326.22210693359375,237.33154296875,752.1277465820312,432.61871337890625
327.158203125,236.8544921875,751.8367919921875,433.0711669921875
328.6685791015625,236.19007110595703,751.147216796875,433.46080780029297
329.26283264160156,234.11651611328125,750.8436126708984,434.0579833984375
328.8983154296875,232.56918334960938,749.767822265625,434.1354064941406
328.68524169921875,231.85653686523438,749.1934204101562,434.3085021972656
328.1220703125,231.25177001953125,748.6029052734375,434.6064453125
328.1025390625,230.91778564453125,747.665771484375,434.0379638671875
328.61541748046875,230.30142211914062,746.6934204101562,434.6664733886719
329.317138671875,230.19818115234375,746.361328125,435.09307861328125
329.09521484375,230.55023956298828,746.3289794921875,435.7642135620117
328.87451171875,230.47657012939453,745.8709716796875,435.81139373779297
329.4385986328125,230.44564819335938,745.17724609375,436.7140197753906
330.24383544921875,230.67697143554688,743.9696655273438,437.2807922363281
330.567138671875,230.94540405273438,742.115234375,438.1326599121094
330.83770751953125,230.9283447265625,740.4694213867188,439.72296142578125
329.75624084472656,231.39944458007812,737.9953460693359,441.0389099121094
329.06243896484375,231.55374145507812,735.8270874023438,442.2597961425781
328.0859375,232.54421997070312,734.0809326171875,443.9497985839844
327.21112060546875,232.86138916015625,732.4483032226562,446.75140380859375
327.43206787109375,232.04705810546875,730.3804321289062,447.6754150390625
326.58245849609375,233.13189697265625,727.6798706054688,452.1343994140625
325.04432678222656,233.87332153320312,725.8451995849609,463.1130065917969
324.38087463378906,235.17645263671875,724.5927581787109,461.92889404296875
322.87677001953125,235.7117919921875,723.3973999023438,466.796875
322.04998779296875,237.23723602294922,722.9120483398438,470.16358184814453
321.60560607910156,237.16909790039062,723.3437347412109,471.6829528808594
321.5289306640625,237.20480346679688,724.33544921875,473.4449157714844
322.172607421875,237.17132568359375,725.0546875,474.47235107421875
324.01051330566406,235.0595703125,726.5314788818359,474.0001220703125
326.94647216796875,234.53173828125,728.5075073242188,473.5274658203125
329.86863708496094,233.47345733642578,729.9754791259766,474.0352096557617
332.44366455078125,231.98138427734375,731.9302368164062,474.451904296875
336.51295471191406,229.55364227294922,732.2790374755859,474.82544708251953
339.15545654296875,229.39810180664062,732.7019653320312,474.5499572753906
340.63133239746094,229.26205444335938,733.3506011962891,474.3488464355469
343.30401611328125,228.81744384765625,734.1267700195312,474.6265869140625
345.9346923828125,228.47797393798828,734.9906005859375,473.68578338623047
349.38262939453125,228.8350830078125,736.7345581054688,473.43017578125
351.7357177734375,230.24382781982422,738.015380859375,473.44837188720703
353.7149658203125,231.55706787109375,740.18701171875,473.64959716796875
355.81690979003906,232.72872924804688,742.2050628662109,473.3893737792969
356.65423583984375,233.7562255859375,743.4797973632812,472.9327392578125
357.33160400390625,236.15473175048828,744.9185180664062,472.55211639404297
357.9296875,237.87808227539062,746.970703125,472.1772155761719
358.2265625,239.96945190429688,747.81982421875,472.0289001464844
357.245849609375,241.24456787109375,749.269287109375,471.91278076171875
357.1597900390625,241.90731811523438,750.29150390625,471.9754333496094
356.22021484375,240.31143188476562,751.5252685546875,471.7218322753906
355.1116943359375,238.4473876953125,752.372314453125,471.6500244140625
355.67176818847656,237.11434936523438,753.5016937255859,470.9577941894531
355.3153076171875,236.86215209960938,755.2921142578125,469.8061218261719
354.98248291015625,236.2191162109375,756.2194213867188,469.27691650390625
355.48683166503906,236.94857788085938,757.8365325927734,469.0892639160156
355.56336975097656,236.2452392578125,758.7400970458984,468.34661865234375
355.48138427734375,234.98627471923828,758.8267211914062,467.7461471557617
356.02476501464844,233.44979858398438,759.2558746337891,466.8627014160156
356.2744140625,232.543701171875,759.544189453125,466.338134765625
357.14202880859375,232.03655242919922,759.5763549804688,465.31897735595703
356.9183349609375,232.21298217773438,760.0303955078125,464.8695983886719
356.51580810546875,232.03314208984375,760.5269165039062,465.0050048828125
355.84130859375,232.39474487304688,761.3673095703125,464.5657653808594
354.734375,233.40353393554688,762.5225830078125,464.3150939941406
353.621337890625,234.30731964111328,763.3740234375,464.26671600341797
352.9271240234375,235.10887908935547,764.28662109375,464.18177032470703
351.9068603515625,235.283447265625,765.1251220703125,462.92169189453125
351.8953857421875,236.71047973632812,765.715087890625,462.2281188964844
351.01454162597656,236.94983673095703,766.1061859130859,462.11193084716797
350.03224182128906,236.19903564453125,766.5136566162109,461.6876220703125
350.06884765625,233.83527374267578,767.071044921875,460.9821090698242
350.8211669921875,230.38418579101562,767.678955078125,459.9548034667969
350.27618408203125,227.51927947998047,767.7808227539062,459.4356155395508
351.37982177734375,225.46096801757812,767.8832397460938,459.5248107910156
353.33734130859375,222.886474609375,768.0628051757812,459.0413818359375
352.38165283203125,220.70962524414062,767.9409790039062,458.3949279785156
352.27870178222656,219.46478271484375,767.9000091552734,458.00970458984375
353.63165283203125,218.15231323242188,767.9115600585938,457.7183532714844
352.97003173828125,217.15628051757812,767.5117797851562,456.4856872558594
353.1806640625,214.76705932617188,766.967529296875,455.8520812988281
354.28582763671875,213.7664794921875,767.1571655273438,455.06561279296875
353.99668884277344,212.48394775390625,767.6270904541016,455.16339111328125
354.03631591796875,210.5272216796875,767.5178833007812,454.0875244140625
353.76756286621094,208.7236328125,768.4970855712891,453.63812255859375
354.30963134765625,206.61459350585938,768.7875366210938,452.9315490722656
355.16339111328125,205.29985809326172,769.1525268554688,452.3849563598633
355.78155517578125,203.1829833984375,769.3637084960938,452.132080078125
355.29551696777344,202.51290893554688,769.2738189697266,451.2886047363281
355.654052734375,202.20861053466797,769.4710693359375,451.07056427001953
355.90826416015625,201.266357421875,769.5548706054688,450.6470947265625
355.48570251464844,200.38943481445312,769.0759429931641,449.3470153808594
355.101806640625,199.8817138671875,769.0216064453125,448.43267822265625
354.68336486816406,199.63709259033203,768.8664398193359,447.7600631713867
354.76849365234375,200.11669921875,768.8131713867188,447.55438232421875
353.9833984375,200.72510528564453,768.3388671875,446.6046676635742
353.45606994628906,202.24408721923828,768.1100921630859,445.63744354248047
353.6341552734375,203.8267822265625,767.8426513671875,444.5028076171875
353.07391357421875,205.79568481445312,767.4287719726562,443.0959167480469
354.59429931640625,206.16424560546875,767.5104370117188,442.229736328125
354.20587158203125,206.03044891357422,767.6109008789062,441.6339797973633
354.04254150390625,206.13329315185547,768.3809204101562,440.1481399536133
354.60791015625,206.77765655517578,768.8814697265625,438.6051559448242
355.16912841796875,208.41968536376953,769.0642700195312,438.0494918823242
355.12550354003906,209.69223022460938,769.8078460693359,437.1904602050781
356.39398193359375,210.6766357421875,770.6171264648438,437.2366943359375
357.16656494140625,211.25167846679688,771.2139282226562,437.3661193847656
357.91290283203125,212.14755249023438,771.6122436523438,437.2477111816406
358.0098876953125,211.91961669921875,772.2208251953125,436.42816162109375
358.2298583984375,211.54415893554688,772.3892822265625,436.5249938964844
358.2220458984375,211.19610595703125,772.84033203125,436.7266845703125
358.49732971191406,210.58208465576172,772.8814544677734,436.60205841064453
358.93910217285156,210.75054931640625,773.0367279052734,436.15728759765625
359.43341064453125,211.07675170898438,772.8237915039062,435.8403625488281
359.48388671875,210.46414184570312,773.0975341796875,436.5248718261719
359.70147705078125,210.72796630859375,773.0885620117188,436.89227294921875
358.74261474609375,211.33059692382812,772.0372924804688,439.3808898925781
358.267578125,212.23443603515625,771.7086181640625,440.53387451171875
358.21893310546875,212.95008087158203,771.1825561523438,442.1306686401367
358.02667236328125,213.71654510498047,770.7460327148438,443.84595489501953
357.6536865234375,214.31060791015625,770.4783935546875,443.8614501953125
357.47552490234375,214.6065673828125,770.4805297851562,444.55511474609375
357.09185791015625,215.19488525390625,769.7047729492188,445.37225341796875
355.87120056152344,215.72185516357422,768.9591217041016,445.6343460083008
356.71142578125,216.65991973876953,768.1168212890625,446.37889862060547
356.3336181640625,217.198486328125,767.2423095703125,446.739013671875
355.14219665527344,217.5709228515625,766.7822418212891,446.63104248046875
354.37669372558594,218.2347412109375,766.3747711181641,447.822998046875
353.5086669921875,219.29501342773438,765.8486328125,448.5597839355469
